Questions,A,B,C,D
"There is more than a modicum of truth in the assertion that ""a working knowledge of ancient history is necessary to the intelligent interpretation of current events"". The expression ""more than a modicum of truth"" means",some amount of truth,significant amount of truth,absolute truth,no truth at all
"There is more than a modicum of truth in the assertion that ""a working knowledge of ancient history is necessary to the intelligent interpretation of current events"". But the sage who uttered these words of wisdom might well have added something on the benefits of studying, particularly, the famous battles of history for the lessons they contain for those of us who lead or aspire to leadership. Such a study will reveal certain qualities and attributes which enabled the winners to win and certain deficiencies which caused the losers to lose. And the student will see that the same patterns recurs consistently, again and again, throughout the centuries. 
According to the writer, a study of famous battles of history would:
",be beneficial to wise men,be more useful than a general knowledge of ancient history,provide food to modern leaders for reflection,help us understand the art of modern warfare
"The sun was setting behind the mountains, casting a warm golden glow over the landscape. The air was crisp and cool, carrying with it the fragrance of pine trees. Birds chirped merrily as they returned to their nests. In the distance, a river glistened, reflecting the hues of the setting sun. It was a serene and beautiful evening in the countryside. What effect did the setting sun have on the landscape?",It made the air warm and humid.,It made the river glisten with dew.,It caused the birds to chirp loudly.,It cast a golden glow over the landscape.
"Detective glories tend to glorify crime. Murderers, gangsters and crooks all kinds are described as tough, cunning and courageous individuals who know how to take care of themselves and how to get what they want. In James McCain's The Postman Always Rings twice, for instance, the villain is much more a impressive character than his victim. According to be passage given above, detective stories:",encourage readers to commit crimes,are hardly worth reading,make interesting reading,tend to create wrong notion about crimes and punishment
"Today perhaps your only association with the word 'polio' is the Sabin Oral Vaccine that protects children from the disease. Fifty five years ago this was not so. The dreaded disease, which mainly affects the brain and spinal cord, causing stiffening and weakening of muscles, crippling and paralysis - which is why I am in a wheelchair today. If somebody had predicted, when I was born, that this would happen to me, no one would have believed it because I was considered to be the healthiest of the brood. In his childhood, the narrator was :",a weakling,very healthy,tall and slim,short and stout
"Today perhaps your only association with the word 'polio' is the Sabin Oral Vaccine that protects children from the disease. Fifty five years ago this was not so. The dreaded disease, which mainly affects the brain and spinal cord, causing stiffening and weakening of muscles, crippling and paralysis - which is why I am in a wheelchair today. If somebody had predicted, when I was born, that this would happen to me, no one would have believed it because I was considered to be the healthiest of the brood. In this passage, the word 'brood' refers to :",polio victims,healthy children,children in the family,all children
"Soft bodied animals like caterpillars often fall a prey to voracious hunters like birds or reptiles. Despite having no means to 'actively' defend themselves, with weapons like claws or jaws, they have nevertheless, evolved other equally effective deterrents. A particular species of the caterpillar lives at an altitude over 2,500 metres in the Himalayas. It uses prominent colors to inform would be predators of its inedibility. The Himalayan caterpillar uses prominent colours to:",warn the predator,attack the predator,reveal itself,defend itself
"Soft bodied animals like caterpillars often fall a prey to voracious hunters like birds or reptiles. Despite having no means to 'actively' defend themselves, with weapons like claws or jaws, they have nevertheless, evolved other equally effective deterrents. A particular species of the caterpillar lives at an altitude over 2,500 metres in the Himalayas. It uses prominent colors to inform would be predators of its inedibility. Caterpillars cannot defend themselves because they:",are passive animals,are lazy,cannot acquire weapons,have no claws or jaws
"Virtues such as faith, hope, charity, and others attain their true virtuous nature only when they are practiced with courage. Courage can be broadly categorized into two types: the first is an emotional state that compels individuals to brave physical harm or mortal danger, known as physical courage. The second type involves a more thoughtful disposition that empowers individuals to calmly confront challenges related to their livelihood, happiness, entire future, or their convictions about what is morally correct or valuable. This second type is referred to as moral courage. All virtues become meaningful because of:",faith,charity,hope,courage
"Virtues such as faith, hope, charity, and others attain their true virtuous nature only when they are practiced with courage. Courage can be broadly categorized into two types: the first is an emotional state that compels individuals to brave physical harm or mortal danger, known as physical courage. The second type involves a more thoughtful disposition that empowers individuals to calmly confront challenges related to their livelihood, happiness, entire future, or their convictions about what is morally correct or valuable. This second type is referred to as moral courage. What distinguishes moral courage from physical courage? ",Moral courage involves physical harm.,Physical courage is related to one's career and future.,Physical courage is primarily emotional in nature.,Physical courage is the same as moral courage.
